id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
7ca72b5b9c688e9e,"Geez, are you forgetful!  We've already discussed why Marx  was  not an anarchist, i.e. he wanted to use a State to mold his 'socialist man.'  Ergo, he is a statist - the opposite of an  anarchist.  I know a guy who says that, when he gets old and his teeth fall out, he'll quit eating meat.  Would you call him a vegetarian?",0,0,0,0,0,0
c03f72fd8f8bf54f,"Carioca RFA 

Thanks for your support on my request for adminship.

The final outcome was (31/4/1), so I am now an administrator. If you have any comments or concerns on my actions as an administrator, please let me know. Thank you!",0,0,0,0,0,0
9e5b8e8fc1ff2e84,"""

 Birthday 

No worries, It's what I do ;)Enjoy ur day|talk|e """,0,0,0,0,0,0
5332799e706665a6,"Pseudoscience category? 

I'm assuming that this article is in the pseudoscience category because of its association with creationism.  However, there are modern, scientifically-accepted variants of catastrophism that have nothing to do with creationism — and they're even mentioned in the article!  I think the connection to pseudoscience needs to be clarified, or the article made more general and less creationism-specific and the category tag removed entirely.",0,0,0,0,0,0
dfa7d8f0b4366680,"(and if such phrase exists, it would be provided by search engine even if mentioned page is not available as a whole)",0,0,0,0,0,0
64479b84de1d00c1,", 9 October 2007 (UTC)

P.s, the delta function I use in the example above as  is the Kronecker delta, not the Dirac delta. The Kronecker delta is in , whereas the Dirac delta is not in L2[0,1].

Incidentally, in response to the request for examples, L2(X) is not a RKHS for X any open subset of . On the other hand, Hardy spaces usually are RKHSs, using various variants of the Szego kernel.

For example , the Hilbert space of L2 functions on the circle is not a RKHS. On the other hand, , the space of L2 functions on the circle which are tangential limits of holomorphic functions on the disc, is.  14:18",0,0,0,0,0,0
0e3561a3ab12ebee,"]]- 10 September 1910, [[[Couvet]] )",0,0,0,0,0,0
b393676802817dac,Negro league baseball task-force talk].,0,0,0,0,0,0
b5632fa10019dbdc,"List of My Three Sons episodes 

I saw you redirected two of the season episode lists back to the article a month ago, which removed them from both articles, since it was transcluded. I substituted the list back into the main article, and was about to remove the links back to the season lists, but the other seasons still have separate pages. I thought I'd just ask for your thoughts. It might be easier to just undo the substitution and redirects. -XT+",0,0,0,0,0,0
82d99700af45e2a8,Quoting Loremaster: In order to make sure you understand me,0,0,0,0,0,0
7b37c6cddc8992fb,"""

 Please do not vandalize pages, as you did with this edit to Holmes Chapel Comprehensive School. If you continue to do so, you will be blocked from editing.    """,0,0,0,0,0,0
352f5d8ab088cd60,"""
CC-BY-SA is probably the most common variation used on both Wikipedia and Commons (it is also in a way compatible with the GFDL used by default). Any limitations might disqualify it as free enough for Wikipedia (most notably, free images here must allow for commercial reuse (again, for GFDL compatibility, I presume), so NC is out of the question), though I'm not an expert on this. You can check the upload wizard, follow the own work path and see the available choices. Though you might also seriously consider uploading the image to Commons instead (to allow wider use). 13 """,0,0,0,0,0,0
0b8f5308c935f88f,"Actually, that's gone now; you're the only one naming him now. ∇∆∇∆",0,0,0,0,0,0
1b1b126551d48ae3,"""

 Moved the article to its full English title 

1) Keeping in line with Wikipedia:Article titles#English-language titles
2) Full title of the work, instead of just its popular abbreviation
3) Any search of bookstores shows that the work is most widely published and available today under its full English title as opposed to any of the Latin variants which were popular during the Renaissance. The current title reflects what the work would most likely be recognized/searched for.

I've also created re-directs for """"On the Mysteries of the Egyptians"""" to here.  """,0,0,0,0,0,0
ed4448b7fef068f5,"There are so many articles that wish to down play the parts of the JW religion that they really don't understand.  I will not go back in and change the article.  If people want to discredit something they don't understand that is ok.  this being said is in no way directed to anyone in particular.  I just find it interesting that people want to write up document reports on religions that they are no part of.  There are pages on Cathlics, Baptist, and other religions that state opinions of people who are not even a part of those religions.  To me and this is personal it is very sad when there are people who will 'critically analzye something that they do not believe in themselves.  oh well.",0,0,0,0,0,0
32cfb068392d728e,I see you have such a low self-esteem that you have to warn others not to attack you.4.130.134.233,0,0,0,0,0,0
50b0d49197bbedd0,"Ed Poor

I shouldn't have to check his edit history. He should reply to me at my Talk page.
I know that wasn't the right page, but what is the right page? That's my point.
I don't want to de-admin him, I want to complain about his actions.",0,0,0,0,0,0
1fc9441f74fb9440,"""

That is not a list of official names of official neighborhoods, their is no such list that exists, that is a of neighborhood names, of which more then half are no longer used, that:
""""are taken from  Philadelphia Almanac and Citizens' Manual which was edited by Kenneth Finkel and published by the Library Company of Philadelphia in 1994 and 1995. It has been augmented by the staff of the Philadelphia City Archives.""""

""""The 1994 edition of this book contained 389 different names of various neighborhoods throughout the city of Philadelphia from the earliest days of Swedish occupation to the present. The following year, an additional six names were added to bring the list to 395. This list is being augmented yet again by the Philadelphia City Archives with names of neighborhoods, redevelopment areas, and other place names which have been assigned officially or unofficially to certain areas of the city. It is interesting to see the dynamics of neighborhood naming in over 350 years of occupation of the 129 square miles which comprise Philadelphia by the Native Americans, the Swedes, the English and German pioneers, and later and current Philadelphians."""" 

 |  trácht ar """,0,0,0,0,0,0
6fd03f13bc1cbdab,"Yes, merge - Chamin and Cholent are one and the same. Cholent is the Yiddish term, which is the mostly widely used, whereas Chamin is Hebrew and mainly used in Israel (primarily by Sephardi/Mizrahi families).",0,0,0,0,0,0
67f7724af29b9aa5,""", 26 July 2014 (UTC)
, there are a number of key words or red flags on Wikipedia. They have a very strong effect in the community. Disruptive editing is one of them. If you want to abuse your position as a trusted editor here, you say the editor you have a difference of opinion with, is """"disruptive"""" when he or she simply has a different opinion - as you so correctly mentioned. Confidently demonstrating with reliable sources that a statement is an encyclopedic statement appropriate to be on WP is not disruptive editing. However the term disruptive editing is one of a number of terms abused by abusive editors on WP. It is very disheartening when some """"trusted"""" editor immediately use that term against you when you simply have a different opinion. They know the power of that word, that is why they use it. There are a number of these """"power"""" words used in the WP community. Abusively using this tactic is a personal attack - in my opinion. The other editor involved here also stated my contributions in various articles is wasting Wikipedians´ time. He also considers the fact that I address you and other editors by name as something that can be used in a negative way against me.   11:07""",0,0,0,0,0,0
bb72ad153b4066ce,"I'm just going to state, as I have observed, that the LPs do not state that there is a surname. A House and Family does not mean a House and a surname. There is a House of Oldenburg which is also the Oldenburg family, for instance. Royal birth certificates do not use a surname. Charles, Prince of Wales did not use a surname on his marriage certificate. How is it clear that the Royal Family did and does have a surname?",0,0,0,0,0,0
42d923c91158e044,"no worries 

We will use another account, and will not stop until wikipedia stops pushing the evil, sin filled gay agenda",1,0,0,0,0,1
150fd0332fc06a37,Do not repeatedly add nonsense to articles -,0,0,0,0,0,0
077d7f826a4ff377,"Question 

Hello Latics, I noticed that you revert vandalism occasionally. Would you like me to grant your account rollback rights to make vandal-fighting easier for you? Just remember that rollback, like Twinkle, should only be used to revert vandalism, and that misuse of the tool can lead to its removal. Tell me what you think. Thanks.",0,0,0,0,0,0
47e229018c4a8a60,"""

Murphy Arts Center copyvio

Could you confirm the URL of the copyvio source http://homepage.mac.com/i/hpti/1/wimg/Shared/SlideShow/SlideShow.html?lang=en is the correct URL, as it doesn't work properly for me. I've removed the suspected copyvio content in the interim.  land """,0,0,0,0,0,0
